address,incident_edges,betweenness_centrality
0xb99a58aeea56e1921b107932e62b48ac8b5a7be8,183,751949
0x6fc82a5fe25a5cdb58bc74600a40a69c065263f8,87,743214
0xdfad8c8a6172d33b95038ec5bb067239b71f70d0,159,734025
0x4f2021ef456abc56d36fb2b848265c2497db104c,65,733404
0x4db13ad0a29e920e8448208a8463e1820a7d41b0,16,723702
0x591a40e003a00fe0952a721e65939533809d477f,7,721642
0x3972538584cc0958f5f3a9e23312ce0f170bfe1f,4,721188
0x312711ddc8889a3f159dc5966038cb474359bb06,10,706186
0x5308ced276bd6a9e08dec7aef67e38691d4c2468,40,705939
0xbf49f750cececa64cce9a15f6ba3a5ecdd2618ee,34,698645
0xda84ce08c5068a34a0aa258631074c9406a1449c,17,683544
0x1e797ce986c3cff4472f7d38d5c4aba55dfefe40,45,681902
0x84ee20f6e40265e588311154b3611aebc8bffbba,15,677472
0x8b0cc5a123c9621fba108f6c5b1ed8ea104ddea6,19,663230
0xf9053507f88fc8229d2fe214add19946ab293b33,2,651206
0xe0b7927c4af23765cb51314a0e0521a9645f0e2a,40,650755
0xcf40d0d2b44f2b66e07cace1372ca42b73cf21a3,72,650481
0x1d117a9f72dad049bbcf0ece86228ecc2dfdff33,6,650278
0x558381f7ad23b54c86d665dfc08ba326e3db3bcd,6,649171
0xab6705de542691cc9a9ddf8fa372ac1b7e4ac411,5,639249
0x91337a300e0361bddb2e377dd4e88ccb7796663d,92,636206
0xe27c39dfbf21b35451c13bd36d23b83d534d1c20,38,634090
0x2f23e6157993f1ad52a15e56581adc90c254f89b,12,629696
0xbe268b8fe018a6a17d2e534a5010f6a74edc836a,90,617923
0xf5d1fcf7b1db2431ffa9fd6fd1ddd9c79c984286,5,617115
0xb582baaf5e749d6aa98a22355a9d08b4c4d013c8,45,613679
0x5122add9f0b13d8c2ab474e804afb07dcaf48944,7,613025
0xff61158083187eda6f9beae925e847e6dffbc604,13,612798
0x6e4f24a297c496aef5d404725a9bbd4cc23ac795,50,612473
0x41a5e6057dcee2287d29b53908ce934ddf2b8166,4,611262
0xe9cc1269083efcd799da9e29c8d48db5ca9f16e3,4,607152
0x0ee4c03776efe873465cf3d999f09552a124c841,17,600866
0x165d3e9d32d671d4b4d000451d60363514853b31,3,593638
0xa74476443119a942de498590fe1f2454d7d4ac0d,65,588754
0x870e2e24c1ca69baa8be9f1fd80ce6ab0d627a0d,80,582046
